Latitude (generated),Longitude (generated),start_year,Start_month,Gis Acres,Cause
41.7637548,-123.8408656,1980,9,30,2
41.76583203,-121.5839808,1980,9,799,1
41.84795877,-122.9988625,1980,7,7,5
41.87638523,-123.8434797,1980,10,105,5
32.56770688,-116.8268553,1981,6,372,4
32.58734002,-116.5085763,1981,7,32,9
32.59962455,-116.9020439,1981,10,89,9
32.66733802,-116.1113089,1981,4,99,14
32.66871531,-116.9201098,1981,6,72,9
32.67766112,-116.912925,1981,6,456,7
32.70716774,-116.3219435,1981,6,107,5
32.70854374,-116.34195,1981,7,18,9
32.72363843,-116.9912215,1981,6,261,9
32.78489053,-116.8612996,1981,8,106,9
32.85959137,-117.0476506,1981,6,7311,9
32.86881524,-116.9920539,1981,7,696,9
32.89306028,-116.8853244,1981,7,2648,9
32.92293479,-116.9430327,1981,8,111,9
32.95839799,-116.8109405,1981,9,394,7
32.98300032,-116.9712189,1981,9,49,9
33.03611201,-117.1088197,1981,6,4325,9
33.03757688,-117.0381335,1981,7,217,9
33.04256082,-116.800427,1981,8,97,9
33.11610958,-116.7154629,1981,6,230,2
33.12810265,-116.7942508,1981,9,55,9
33.18119934,-116.9740366,1981,8,40,14
33.19034714,-117.137571,1981,2,40,14
33.2066888,-116.4352523,1981,5,411,7
33.21147539,-116.4501483,1981,5,47,9
33.21863281,-116.4399231,1981,7,1113,9
33.23803678,-116.7668843,1981,6,147,9
33.34901187,-117.1209773,1981,6,120,9
33.37289646,-117.0713354,1981,7,104,8
33.44468249,-117.4055642,1981,6,179,9
33.45424548,-117.414547,1981,7,98,9
33.48657828,-116.8717429,1981,6,12163,9
33.49509488,-117.0781823,1981,8,491,14
33.53314882,-117.2471401,1981,6,9182,7
33.5940671,-117.0793612,1981,6,282,14
33.64277838,-117.2463912,1981,6,1279,14
33.69225074,-117.3068797,1981,8,1350,14
33.69739413,-117.0063757,1981,9,721,14
33.69948148,-116.6916389,1981,8,1740,8
33.72574934,-117.3146035,1981,7,356,14
33.74589794,-118.3213571,1981,6,19,14
33.76366699,-117.4265439,1981,6,8000,9
33.7826899,-116.6376051,1981,8,137,3
33.79664739,-117.4609748,1981,6,556,14
33.79801614,-118.3522147,1981,7,4,14
33.88420446,-117.1922756,1981,6,397,5
33.93416985,-117.0969952,1981,6,697,14
33.96239347,-116.8570474,1981,8,440,14
33.96671994,-117.8615036,1981,7,197,14
33.97383238,-117.1075647,1981,6,2316,14
33.99350636,-118.0252301,1981,6,194,14
33.99494819,-117.3012468,1981,6,1709,14
34.00430194,-116.9127323,1981,7,9,8
34.00431596,-117.2672708,1981,6,4051,9
34.03832842,-117.0190296,1981,8,32,7
34.08051245,-118.2058458,1981,6,6,14
34.08163338,-118.2400918,1981,6,273,14
34.08874246,-117.0297386,1981,9,121,9
34.09021227,-117.8330009,1981,7,69,14
34.0973091,-117.797607,1981,9,40,14
34.10006532,-118.2522792,1981,7,2,14
34.10016674,-118.2274753,1981,6,6,14
34.11094715,-118.3389043,1981,6,1,14
34.11137386,-118.2189243,1981,6,11,14
34.11398404,-118.6152612,1981,8,67,14
34.12392504,-117.8348306,1981,6,18,14
34.12781213,-118.2758676,1981,6,21,14
34.14733538,-117.8100469,1981,7,668,14
34.14743778,-118.1986699,1981,6,2,14
34.17445239,-118.609384,1981,10,4,14
34.23202927,-118.6289154,1981,10,985,14
34.25824367,-118.3386266,1981,6,30,14
34.27042843,-118.634577,1981,10,17787,14
34.2845776,-119.109856,1981,6,376,14
34.28909832,-118.3921537,1981,5,12,14
34.29278281,-118.4633386,1981,8,4,14
34.30065803,-118.544229,1981,7,27,14
34.33151243,-117.4614327,1981,7,426,14
34.35813934,-118.5509231,1981,7,48,14
34.35934975,-118.5590554,1981,8,8,14
34.37533559,-118.4492374,1981,7,103,14
34.37753003,-118.5057031,1981,7,12,14
34.40847866,-118.4516455,1981,10,80,14
34.40920841,-118.451973,1981,11,71,14
34.41913296,-118.4590782,1981,6,86,14
34.42548065,-118.4409099,1981,6,31,14
34.43672087,-118.4031879,1981,10,312,14
34.45034264,-118.4645081,1981,5,177,14
34.45666028,-118.3526566,1981,8,167,14
34.46379844,-118.3760764,1981,7,42,14
34.47279758,-118.5177391,1981,7,439,14
34.47390163,-118.3700787,1981,8,301,14
34.47398105,-120.2013039,1981,7,90,7
34.47726583,-118.5398947,1981,7,45,14
34.48342909,-118.6205283,1981,6,106,14
34.50007611,-120.4841595,1981,8,1338,Prescribed Burn
34.50547969,-119.769295,1981,9,2244,14
34.51610644,-118.4119476,1981,8,150,14
34.52282118,-117.0766721,1981,8,479,14
34.5239159,-118.5158469,1981,8,587,14
34.53532415,-118.127412,1981,5,201,14
34.54639096,-120.5207573,1981,6,8688,14
34.569147,-119.8360373,1981,9,6315,Prescribed Burn
34.57596297,-120.4817847,1981,10,2559,Prescribed Burn
34.58977003,-119.795576,1981,9,2257,14
34.59123649,-119.7796117,1981,9,1638,9
34.59538164,-120.2212518,1981,12,494,Prescribed Burn
34.6059052,-118.6483485,1981,7,234,14
34.61625505,-118.2412053,1981,6,350,14
34.65915524,-120.5732029,1981,10,49,Prescribed Burn
34.68530699,-118.4013826,1981,7,879,14
34.68560131,-120.604262,1981,7,1,14
34.69847462,-116.8136067,1981,8,259,14
34.71364019,-120.2662211,1981,8,1224,Prescribed Burn
34.71635125,-120.510026,1981,8,56,Prescribed Burn
34.72750186,-120.5052872,1981,9,13,14
34.72798775,-120.5095867,1981,7,12,14
34.73325341,-120.3484099,1981,9,1127,Prescribed Burn
34.7356318,-120.5548298,1981,10,20,Prescribed Burn
34.74449435,-120.4999833,1981,11,40,Prescribed Burn
34.74626604,-118.3812858,1981,8,1466,14
34.75032622,-120.172001,1981,8,674,Prescribed Burn
34.75819182,-120.5283373,1981,10,2,Prescribed Burn
34.76135025,-120.5411223,1981,10,7,Prescribed Burn
34.76195292,-118.3774447,1981,8,2,14
34.80801434,-120.5195491,1981,7,98,Prescribed Burn
34.8223833,-120.5334033,1981,8,30,Prescribed Burn
34.91337936,-120.2377596,1981,8,464,Prescribed Burn
35.01538085,-120.5461456,1981,11,191,14
35.09429637,-120.2917917,1981,8,101,14
35.11980845,-120.4625725,1981,10,428,Prescribed Burn
35.14988153,-120.5504647,1981,6,47,14
35.19666515,-119.909616,1981,6,3110,2
35.21731854,-120.4041105,1981,10,261,14
35.27530183,-120.5696391,1981,10,1843,9
35.29034563,-119.9219361,1981,8,89,14
35.46799414,-120.4344525,1981,7,225,14
35.54379799,-120.1869218,1981,8,281,14
35.60502297,-118.5641819,1981,8,1376,7
35.60873245,-120.3854771,1981,8,394,2
35.63305009,-120.4313436,1981,7,115,14
35.64268159,-120.4360485,1981,8,85,14
35.68746422,-118.4857554,1981,8,1730,8
35.7159704,-120.2277176,1981,7,209,2
35.72850275,-120.4270228,1981,6,590,2
35.72925743,-118.4548422,1981,7,1318,4
35.74971718,-120.6631913,1981,7,1873,2
35.7661777,-120.5245943,1981,7,344,2
35.77101261,-118.4553208,1981,8,22,8
35.78507444,-120.2057376,1981,8,349,14
35.79622323,-118.4353662,1981,4,30,7
35.97656415,-120.2656051,1981,7,577,2
36.0350028,-118.6804222,1981,8,61,7
36.03896729,-118.6745186,1981,8,11,7
36.03975282,-118.7163536,1981,8,270,7
36.04152963,-118.6674266,1981,8,12,7
36.08346596,-121.5310542,1981,6,3694,9
36.13034143,-120.4037106,1981,7,738,8
36.2860566,-119.1002634,1981,6,717,7
36.29589588,-118.9438629,1981,7,593,2
36.38497287,-120.9193933,1981,12,28,10
36.45020232,-121.0807385,1981,6,3830,2
36.47671514,-121.1891427,1981,1,5,Prescribed Burn
36.47855668,-121.1900227,1981,1,6,Prescribed Burn
36.48988606,-118.8180566,1981,6,0,Prescribed Burn
36.49989069,-121.0515111,1981,8,597,2
36.50817191,-118.7980508,1981,6,0,Prescribed Burn
36.51957687,-118.7575139,1981,11,46,Prescribed Burn
36.52011475,-118.7887137,1981,8,186,10
36.52632257,-121.3837438,1981,6,1156,9
36.52767919,-118.8796498,1981,10,477,Prescribed Burn
36.56407486,-118.75488,1981,7,86,Prescribed Burn
36.5867204,-118.7470106,1981,9,69,Prescribed Burn
36.59310076,-118.7924225,1981,10,48,Prescribed Burn
36.71263494,-118.9065829,1981,9,374,Prescribed Burn
36.74417161,-118.9477473,1981,8,140,Prescribed Burn
36.75144709,-118.9670083,1981,9,214,Prescribed Burn
36.78360472,-118.6337482,1981,10,8,Prescribed Burn
36.84573176,-118.3085557,1981,8,241,7
36.88590213,-121.4565582,1981,7,1867,8
36.9578423,-119.3543982,1981,9,468,7
36.96498575,-119.7077953,1981,6,1079,14
36.97721817,-121.047758,1981,5,885,14
37.01448536,-119.3289631,1981,8,50,9
37.05368266,-119.2659762,1981,9,17,9
37.09735722,-119.4971965,1981,9,9,7
37.12207523,-119.1619007,1981,8,1084,4
37.13633229,-119.9408399,1981,8,821,14
37.17934334,-119.8094468,1981,7,455,14
37.21492789,-121.7138099,1981,7,306,9
37.35436443,-118.3321888,1981,2,1266,9
37.51433812,-118.656166,1981,8,3159,9
37.54645547,-119.5942244,1981,11,27,1
37.66556683,-119.5287261,1981,9,2233,1
37.7072685,-120.2865964,1981,7,711,14
37.77325075,-120.1380271,1981,1,8,5
37.77512588,-119.5433903,1981,8,624,1
37.83701521,-121.8870824,1981,7,2361,7
37.97933261,-120.2167169,1981,8,860,2
37.98805961,-119.7533072,1981,9,24,1
37.99182815,-119.6038514,1981,8,9,1
38.03777907,-122.5714893,1981,10,179,14
38.04428536,-122.6858311,1981,8,45,14
38.1655869,-122.5803743,1981,6,212,14
38.3679204,-121.0863669,1981,6,14126,9
38.3835879,-121.943592,1981,6,392,14
38.39455158,-122.0152092,1981,4,614,8
38.42149683,-122.2822632,1981,6,33606,7
38.4517357,-121.1602542,1981,6,248,7
38.60423369,-121.1382557,1981,9,593,7
38.6398812,-121.0660148,1981,6,1676,2
38.79739843,-120.2195608,1981,8,3843,9
38.79988135,-119.7527662,1981,7,15,8
38.84196298,-123.2174049,1981,9,240,5
38.90768363,-122.3892188,1981,8,14448,7
38.94911492,-121.3386842,1981,6,425,9
38.96515275,-122.602602,1981,9,551,7
39.00237088,-122.6050747,1981,8,4568,7
39.00430275,-122.4906703,1981,7,4811,7
39.00715295,-121.267824,1981,6,812,2
39.08812457,-123.0369249,1981,8,25664,7
39.19945957,-122.927606,1981,8,1397,9
39.22603199,-119.8514842,1981,8,5138,1
39.3737442,-119.8014672,1981,8,5951,1
39.43852299,-123.1888604,1981,7,116,14
39.68241889,-122.2812964,1981,6,522,9
39.80227634,-120.5162166,1981,8,45,9
39.89136381,-120.6989231,1981,7,907,9
39.93504044,-120.8735022,1981,9,62,2
39.97968118,-121.8315973,1981,1,1397,Prescribed Burn
40.00306501,-120.7063886,1981,9,6697,14
40.01609062,-120.7883811,1981,9,13,1
40.01903006,-120.7938079,1981,9,17,1
40.02618132,-120.7100541,1981,9,12,1
40.03544438,-120.5971588,1981,9,18,1
40.05164207,-120.6381419,1981,9,19,1
40.06245015,-120.3476833,1981,8,22,9
40.07952736,-120.6670876,1981,9,13,1
40.08461973,-120.5903429,1981,9,6852,1
40.10048422,-122.3289161,1981,5,1486,3
40.15718854,-123.2332091,1981,6,41,9
40.18266867,-122.5278952,1981,6,250,7
40.21920666,-122.1106454,1981,7,369,7
40.25165917,-122.1470976,1981,7,1,14
40.25992716,-122.140568,1981,7,7,14
40.2662509,-122.1364215,1981,7,17,14
40.269587,-123.3752548,1981,4,3,5
40.27606695,-122.1297753,1981,7,141,14
40.29142239,-122.1168619,1981,7,315,14
40.34911501,-122.0469693,1981,7,44,14
40.39987531,-123.4560858,1981,9,22,7
40.4037819,-121.9476501,1981,7,44,14
40.48086911,-120.5394557,1981,8,269,7
40.51126011,-123.5909806,1981,9,155,7
40.52602451,-123.6142249,1981,8,151,9
40.90185388,-121.0336191,1981,8,689,1
